category_id,title,product_code,qty,price,description,image,image1,image2,image3
EXTREME SLIDES,THE GIANT CONER,101,,,,,,,
EXTREME SLIDES,SWIRL N ROUND,102,,,,,,,
EXTREME SLIDES,WATER CRUISER,103,,,,,,,
EXTREME SLIDES,SPIDER,104,,,,,,,
EXTREME SLIDES,FLAT LINE,105,,,,,,,
EXTREME SLIDES,TORPEDO,106,,,,,,,
WATER MOVERS,LAZY RIVER,107,,,,,,,
WATER MOVERS,CRAZY RIVER,108,,,,,,,
WATER MOVERS,WAVE POOL,109,,,,,,,
WATER SLIDES,TORNADO SWIRL,110,,,,,,,
WATER SLIDES,BODY SLIDE,111,,,,,,,
WATER SLIDES,CRAZY CRUIZE,112,,,,,,,
WATER SLIDES,OSCILATOR,113,,,,,,,
WATER SLIDES,FLOAT SLIDE,114,,,,,,,
WATER SLIDES,FLOAT TORNADO SWIRL,115,,,,,,,
WATER SLIDES,OSCILATOR JUNIOR,116,,,,,,,
WATER SLIDES,MULTI LANE RACING SLIDE,117,,,,,,,
WATER SLIDES,RIVER SLIDE,118,,,,,,,
WATER SLIDES,FLOAT WAVE RIDER,119,,,,,,,
WATER SLIDES,TWISTER SLIDE,120,,,,,,,
WATER HOUSE,WATER HOUSE 2,121,,,,,,,
WATER HOUSE,WATER HOUSE 3,122,,,,,,,
WATER HOUSE,WATER HOUSE 4,123,,,,,,,
WATER HOUSE,WATER HOUSE 5,124,,,,,,,
WATER HOUSE,WATER HOUSE 6,125,,,,,,,
WATER HOUSE,WATER HOUSE 7,126,,,,,,,
WATER HOUSE,WATER HOUSE 8,127,,,,,,,
WATER HOUSE,WATER HOUSE 9,128,,,,,,,
WATER HOUSE,WATER HOUSE 10,129,,,,,,,
WATER HOUSE,WATER HOUSE 11,130,,,,,,,
WATER HOUSE,WATER HOUSE 12,131,,,,,,,
WATER HOUSE,WATER HOUSE 13,132,,,,,,,
WATER HOUSE,WATER HOUSE 14,133,,,,,,,
WATER HOUSE,WATER HOUSE 15,134,,,,,,,
WATER HOUSE,WATER HOUSE 16,135,,,,,,,
WATER HOUSE,WATER HOUSE 17,136,,,,,,,
WATER HOUSE,WATER HOUSE 18,137,,,,,,,
WATER HOUSE,WATER HOUSE 19,138,,,,,,,
WATER HOUSE,WATER HOUSE 20,139,,,,,,,
